# Portuguese allowed names, parsed from the official IRN list.
# Generated by tools/names-snapshot - do not edit by hand.
# generated: 2026-09-20T23:34:40.798196Z
# source: https://irn.justica.gov.pt/Portals/33/Regras%20Nome%20Proprio/Lista%20Nomes%20Pr%C3%B3prios.pdf?ver=WNDmmwiSO3uacofjmNoxEQ%3D%3D
# count: 7481
Aabirah	F
Aabaj	M
Aaditi	F
Aagambir	M
Aaira	F
Aahan	M
Aaish	F
Aahil	M
Aakriti	F
Aankit	M
Aalia	F
Aarav	M
Aaliya	F
Aaravpreet	M
Aaliyah	F
Aaron	M
Aalyiah	F
AAron	M
Aamna	F
Aarón	M
Aarica	F
Aarush	M
Aarohi	F
Aaryan	M
Aarushi	F
Aasaal	M
Aarvi	F
Aayam	M
Aashvi	F
Aayan	M
Aatika	F
Aayun	M
Aayat	F
Aayush	M
Aayushi	F
Abd	M
Abby	F
Abdel	M
Abbygaëlle	F
Abdelhadi	M
Abeedha	F
Abdellah	M
Abeeha	F
Abdelrahman	M
Abhinaya	F
Abderrahmane	M
Abigael	F
Abdoallah	M
Abigail	F
Abdoulaye	M
Abimaela	F
Abdrahman	M
Abrayene	F
Abducadre	M
Abril	F
Abdul	M
Abrish	F
Abdulai	M
Acácia	F
Abdulaí	M
Acakarein	F
Abdullah	M
Achia	F
Abdulmuiz	M
Acricia	F
Abdulrahman	M
Açucena	F
Abdulwahab	M
Ada	F
Abduramane	M
Adalbmira	F
Abdurrahim	M
Adalgiza	F
Abel	M
Adália	F
Abhay	M
Adama	F
Abhayjit	M
Adan	F
Abhinav	M
Adanna	F
Abhinoor	M
Addis	F
Abhiyan	M
Adel	F
Abibo	M
Adelaide	F
Abiel	M
Adele	F
Abilio	M
Adélia	F
Abílio	M
Adelina	F
Abir	M
Adelle	F
Abner	M
Adely	F
Abou	M
Adelyna	F
Aboubacar	M
Adeya	F
Abraão	M
Adiane	F
Abraar	M
Adília	F
Abraham	M
Aditi	F
Abraim	M
Adja	F
Abrão	M
Adje	F
Abrar	M
Adla	F
Absalão	M
Adriana	F
Abubacar	M
Adriane	F
Acácio	M
Adrianna	F
